['2021-12-31', '15-04-20', 'Оболенск через бумажку всё чисто'],
['2021-03-25', '20-42-57', 'Чернышевская 5 в работают как обычно пешехода смотрят'],
['2021-03-25', '20-43-14', 'поставить Экипаж на пешехода оформляют машинку'],
['2021-03-25', '20-51-35', 'шаурма 5 звёзд А это типаж смотрят пешехода'],
['2021-03-25', '21-09-18', 'шаурма 5 звёзд уехали чёрный'],
['2021-03-25', '21-22-57', 'ребят по Весенний вниз к восьмой медсанчасти очень между гаражами очень скользко Будьте аккуратны'],
['2021-03-25', '22-37-09', 'автор всех подряд'],
['2021-03-25', '23-00-41', 'красный Текстильщик 19 за детская поликлиника стоят останавливает выборочно'],
['2021-03-25', '23-01-00', 'Роллтон equipage'],
['2021-03-26', '00-59-56', 'выезд из Липецка в подряд в обе стороны'],
['2021-03-26', '01-06-34', 'по борисовскому шоссе и выезжать на трассу М2 то Ну как всегда вот этого разветвления на бабочки стоит Ford Transit только qaytaman'],
['2021-03-26', '03-48-24', 'актуально'],
['2021-03-26', '06-18-54', 'Коллеги доброе утро на ногинке Как ехать по Дзержинского где поворот на Войково стоит экипаж'],
['2021-03-26', '06-44-01', 'утро поворотно Авангард два экипажа активно работают'],
['2021-03-26', '06-56-32', 'уехали'],
['2021-03-26', '06-57-21', 'на развилке Экипаж Ford стоит работает'],
['2021-03-26', '06-58-31', 'всё чисто'],
['2021-03-26', '07-00-10', 'утро всем около сауны работает Экипаж Звёздная 6 повнимательней'],
['2021-03-26', '07-11-52', 'поворачивает по Пушкина в сторону Московского шоссе'],
['2021-03-26', '07-12-41', 'Бригадная стоят чуть поближе к Дикси ну рядом недалеко от Дикси на пешехода смотрят и проверяют на алкоголь'],
['2021-03-26', '07-26-32', 'не было никого'],
